,Error,Atom Type,,,,,,,,acetic_acid,"['c', 'c3', 'o', 'oh', 'hc', 'hc', 'hc', 'ho']"
111_trichloroethane,-0.511232,"['c3', 'c3', 'cl', 'cl', 'cl', 'hc', 'hc', 'hc']",,,,,,,,,
iodoethane,-0.701966,"['c3', 'c3', 'i', 'hc', 'hc', 'hc', 'h1', 'h1']",,,,,,,,,
benzonitrile,-1.449963,"['cg', 'ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'n1', 'ha', 'ha', 'ha', 'ha', 'ha']",,,,,,,,,
propane,1.184503,"['c3', 'c3', 'c3', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']",,,,,,,,,
pent_1_ene,0.864353,"['c2', 'c2', 'c3', 'c3', 'c3', 'ha', 'ha', 'ha', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']",,,,,,,,,
35_dimethylpyridine,1.902825,"['ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'c3', 'nb', 'ha', 'h4', 'h4', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']",,,,,,,,,
tetrahydropyran,-0.545276,"['c3', 'c3', 'c3', 'c3', 'c3', 'os', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1', 'h1', 'h1', 'h1']",,,,,,,,,
trichloroethene,-1.061728,"['c2', 'c2', 'cl', 'cl', 'cl', 'h4']",,,,,,,,,
fluorobenzene,-0.588783,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'f', 'ha', 'ha', 'ha', 'ha', 'ha']",,,,,,,,,
cyclopropane,0.502528,"['cx', 'cx', 'cx', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']",,,,,,,,,
methyl_formate,0.496828,"['c', 'c3', 'o', 'os', 'h5', 'h1', 'h1', 'h1']",,,,,,,,,
dimethyl_ether,0.808617,"['c3', 'c3', 'os', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1']",,,,,,,,,
toluene,-0.675806,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'ha', 'ha', 'ha', 'ha', 'ha', 'hc', 'hc', 'hc']",,,,,,,,,
anisole,-1.186633,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'os', 'ha', 'ha', 'ha', 'ha', 'ha', 'h1', 'h1', 'h1']",,,,,,,,,
ethyl_acetate,0.833159,"['c', 'c3', 'c3', 'c3', 'o', 'os', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1', 'h1']",,,,,,,,,
propene,1.114471,"['c2', 'c2', 'c3', 'ha', 'ha', 'ha', 'hc', 'hc', 'hc']",,,,,,,,,
ethene,1.296072,"['c2', 'c2', 'ha', 'ha', 'ha', 'ha']",,,,,,,,,
12_ethanediol,0.345172,"['c3', 'c3', 'oh', 'oh', 'h1', 'h1', 'h1', 'h1', 'ho', 'ho']",,,,,,,,,
1_iodopropane,-0.845607,"['c3', 'c3', 'c3', 'i', 'hc', 'hc', 'hc', 'hc', 'hc', 'h1', 'h1']",,,,,,,,,
4_ethylpyridine,1.940047,"['ca', 'ca', 'ca', 'ca', 'ca', 'c3', 'c3', 'nb', 'ha', 'ha', 'h4', 'h4', 'hc', 'hc', 'hc', 'hc', 'hc']",,,,,,,,,
pentan_2_one,0.411253,"['c', 'c3', 'c3', 'c3', 'c3', 'o', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']",,,,,,,,,
heptan_2_one,0.264577,"['c', 'c3', 'c3', 'c3', 'c3', 'c3', 'c3', 'o', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc', 'hc']",,,,,,,,,
methane,1.699201,"['c3', 'hc', 'hc', 'hc', 'hc']",,,,,,,,,
benzene,-0.542837,"['ca', 'ca', 'ca', 'ca', 'ca', 'ca', 'ha', 'ha', 'ha', 'ha', 'ha', 'ha']",,,,,,,,,
methyl_hexanoate,0.277395,"['c', 'c3', 'c3', 'c3', 'c3', 'c3', 'c3', 'o', 'os', 'hc', 'hc', 'hc', 'h1', 'h1', 'h1', 'hc', 'hc', 'hc', 'hc', 'hc']",,,,,,,,,
